"adr","adults","new_column"
164.57,3,54.8566666666667
107,2,53.5
117.22,2,58.61
119.25,2,59.625
123,2,61.5
105.71,2,52.855
123,2,61.5
144.43,2,72.215
126,2,63
148.3,2,74.15
125.22,2,62.61
123,2,61.5
130,2,65
133.16,2,66.58
78.84,2,39.42
80.1,2,40.05
193,2,96.5
88.2,2,44.1
90.71,2,45.355
114.5,2,57.25
120.2,2,60.1
79.5,2,39.75
117.9,2,58.95
128,2,64
90.95,2,45.475
107,2,53.5
130.05,2,65.025
123,2,61.5
103.8,2,51.9
196,2,98
149.4,2,74.7
175.71,2,87.855
119.7,2,59.85
100.86,2,50.43
100.86,2,50.43
82,2,41
73.8,2,36.9
117.9,2,58.95
82,2,41
150,4,37.5
161,2,80.5
64,2,32
123,2,61.5
110,2,55
88.2,2,44.1
130,2,65
88.2,2,44.1
165,2,82.5
114,1,114
79.5,2,39.75
132.8,2,66.4
120,2,60
79.5,2,39.75
120,2,60
144.2,2,72.1
107.2,2,53.6
120,2,60
120,2,60
163.8,3,54.6
98.5,2,49.25
130.5,2,65.25
153,1,153
98.5,2,49.25
119.7,2,59.85
184.6,2,92.3
181.22,2,90.61
100.86,2,50.43
100.2,2,50.1
134.25,2,67.125
96.3,2,48.15
83.09,2,41.545
105.5,2,52.75
134,1,134
8,2,4
146,2,73
126,2,63
111.15,2,55.575
136.2,2,68.1
101.8,2,50.9
127,2,63.5
161.5,2,80.75
230.67,2,115.335
65.7,1,65.7
180,2,90
168.57,2,84.285
107.67,2,53.835
96.9,2,48.45
107,2,53.5
73.41,2,36.705
109.9,2,54.95
109.9,2,54.95
187.5,3,62.5
134,1,134
91.5,2,45.75
132.44,2,66.22
106.9,2,53.45
131.86,2,65.93
216.13,2,108.065
107,2,53.5
107,2,53.5
107,2,53.5
107,2,53.5
107,2,53.5
190.33,2,95.165
107,2,53.5
94,1,94
0,2,0
98.75,2,49.375
148.23,3,49.41
94,1,94
107,2,53.5
107,2,53.5
148.23,3,49.41
0,1,0
107,2,53.5
107,2,53.5
107,2,53.5
107,2,53.5
98.75,2,49.375
195,2,97.5
120.6,2,60.3
123.2,2,61.6
112,1,112
123.2,2,61.6
169,2,84.5
198,2,99
103.5,2,51.75
135.6,2,67.8
103.5,2,51.75
184,2,92
134,2,67
147,2,73.5
151.33,2,75.665
121.33,2,60.665
150.2,2,75.1
139,2,69.5
150.2,1,150.2
75.44,2,37.72
135,2,67.5
166,2,83
135,2,67.5
130,2,65
96.3,2,48.15
160,1,160
0,2,0
127.25,2,63.625
164,2,82
144.5,2,72.25
112,2,56
134,2,67
127.25,2,63.625
155.5,2,77.75
110.5,2,55.25
144.5,2,72.25
144.5,2,72.25
123,2,61.5
120.6,2,60.3
107.6,1,107.6
120.6,2,60.3
107,2,53.5
133.75,2,66.875
103.5,2,51.75
84.8,1,84.8
107,2,53.5
107,1,107
84.8,1,84.8
107,2,53.5
195,3,65
164,2,82
195,2,97.5
125,2,62.5
195,2,97.5
132.3,2,66.15
145,2,72.5
92,2,46
132.3,2,66.15
147,2,73.5
167,2,83.5
210,3,70
194.9,2,97.45
103.5,2,51.75
118.5,2,59.25
192,2,96
128.27,2,64.135
135,2,67.5
126.3,2,63.15
154,2,77
96.3,2,48.15
126.3,2,63.15
136,2,68
118.5,2,59.25
116.33,2,58.165
164,3,54.6666666666667
147.67,2,73.835
145,2,72.5
147,2,73.5
168.3,2,84.15
167,2,83.5
137.75,2,68.875
145,2,72.5
132.6,2,66.3
147,2,73.5
157,2,78.5
210,2,105
132.5,2,66.25
98.02,2,49.01
126,2,63
173,2,86.5
249,2,124.5
186.5,1,186.5
95,1,95
241.5,2,120.75
177,2,88.5
153.73,2,76.865
115,2,57.5
127.03,2,63.515
128.25,2,64.125
128.25,2,64.125
115,2,57.5
135,2,67.5
167,2,83.5
135,2,67.5
124.5,2,62.25
98,2,49
98,2,49
135,2,67.5
88.2,2,44.1
120.6,2,60.3
154.5,2,77.25
145,2,72.5
92,2,46
154,2,77
115,2,57.5
110.53,1,110.53
158.5,2,79.25
131.37,2,65.685
117.71,2,58.855
123,2,61.5
158.5,2,79.25
117.84,2,58.92
154,2,77
116.85,2,58.425
129.16,2,64.58
214,2,107
115,2,57.5
123,2,61.5
123,2,61.5
195,2,97.5
135.2,2,67.6
123,2,61.5
130.5,2,65.25
123,1,123
179.1,2,89.55
0,1,0
0,2,0
115,2,57.5
115,2,57.5
103.5,2,51.75
157,2,78.5
135,2,67.5
111.65,2,55.825
135,2,67.5
195,2,97.5
104,2,52
135,2,67.5
214,2,107
133.17,2,66.585
141.33,2,70.665
121.01,2,60.505
240.64,2,120.32
167.5,2,83.75
152.43,2,76.215
148.34,2,74.17
167,2,83.5
172.93,2,86.465
179.1,2,89.55
192.5,2,96.25
92,2,46
111.2,2,55.6
141.6,2,70.8
141.6,2,70.8
141.6,2,70.8
200,2,100
200,2,100
157,2,78.5
99.5,1,99.5
115,2,57.5
195,2,97.5
103.5,2,51.75
207,3,69
163.33,3,54.4433333333333
151.86,2,75.93
95.57,3,31.8566666666667
112.05,2,56.025
160,2,80
103.18,2,51.59
153,2,76.5
119.75,2,59.875
135,2,67.5
167.69,2,83.845
195,2,97.5
135,2,67.5
178.4,2,89.2
0,2,0
0,2,0
154,2,77
134,2,67
112,1,112
194,2,97
153,2,76.5
135,2,67.5
184,2,92
210,2,105
139,2,69.5
101.46,2,50.73
145,2,72.5
173,2,86.5
217.05,3,72.35
164,2,82
173,2,86.5
112.5,2,56.25
153,2,76.5
173,2,86.5
153,2,76.5
134,2,67
153,2,76.5
233,2,116.5
154,2,77
173,2,86.5
135,2,67.5
132.5,2,66.25
222.67,3,74.2233333333333
135,2,67.5
107,2,53.5
127,2,63.5
135,2,67.5
149.7,2,74.85
161.25,2,80.625
107,2,53.5
75.44,2,37.72
75.44,2,37.72
115,2,57.5
159.2,2,79.6
163.29,2,81.645
210,2,105
154,2,77
166,2,83
132.5,2,66.25
107,2,53.5
121.98,3,40.66
0,2,0
133,2,66.5
107,2,53.5
117.81,2,58.905
107,2,53.5
120.6,2,60.3
147,2,73.5
153,2,76.5
153,2,76.5
134,2,67
153,2,76.5
118,2,59
134,2,67
135,2,67.5
158.77,2,79.385
134,2,67
134,2,67
142.03,2,71.015
240,2,120
134,2,67
134,2,67
147,2,73.5
176,2,88
120.6,2,60.3
166,2,83
134,2,67
147,2,73.5
167,2,83.5
107.2,2,53.6
131.63,1,131.63
233.05,3,77.6833333333333
90.12,2,45.06
120.6,2,60.3
125,1,125
154,2,77
120.6,2,60.3
114.25,2,57.125
107,2,53.5
88.55,2,44.275
149,2,74.5
195,3,65
164,2,82
154,2,77
120.6,2,60.3
103.5,2,51.75
115,2,57.5
95.02,2,47.51
132.5,2,66.25
209,3,69.6666666666667
95.02,2,47.51
132.5,2,66.25
180,2,90
103.18,2,51.59
174.01,2,87.005
133,2,66.5
133,2,66.5
107.2,2,53.6
0,2,0
210,2,105
145,2,72.5
195,2,97.5
124.2,1,124.2
167,2,83.5
145,2,72.5
166,2,83
115,2,57.5
166,2,83
120.6,2,60.3
162,2,81
153,2,76.5
133.2,2,66.6
134,2,67
107,2,53.5
145,2,72.5
145,2,72.5
107,2,53.5
167.2,2,83.6
134,2,67
130,2,65
164,2,82
149,2,74.5
154,2,77
195,2,97.5
134,2,67
107.2,2,53.6
164,2,82
183.45,3,61.15
159.6,2,79.8
120.6,2,60.3
164,2,82
219.43,2,109.715
134,2,67
164,2,82
107.2,2,53.6
102.72,2,51.36
114.85,2,57.425
114.85,2,57.425
135,2,67.5
195,2,97.5
173,2,86.5
107,2,53.5
107,2,53.5
164,2,82
138.8,2,69.4
154,2,77
135,2,67.5
103.18,2,51.59
115.5,2,57.75
90.95,2,45.475
0,2,0
108.54,2,54.27
146,2,73
165.4,2,82.7
134,2,67
133,2,66.5
240,3,80
157,2,78.5
188,2,94
133,2,66.5
145,2,72.5
134,2,67
134,2,67
186,2,93
90.95,2,45.475
141.65,2,70.825
99.24,2,49.62
108.06,2,54.03
90.95,2,45.475
148.63,2,74.315
173,2,86.5
107,1,107
114,1,114
153,2,76.5
153,2,76.5
250.33,3,83.4433333333333
146.67,2,73.335
154,2,77
120.6,2,60.3
280.74,2,140.37
193,2,96.5
146.67,2,73.335
154,2,77
154.5,2,77.25
120.6,2,60.3
137.8,2,68.9
160,2,80
125.89,2,62.945
125.89,2,62.945
126.71,2,63.355
0,1,0
0,2,0
188,2,94
153,2,76.5
173,2,86.5
173,2,86.5
120,1,120
154.8,2,77.4
192,2,96
153,2,76.5
120.6,2,60.3
192,2,96
120.6,2,60.3
164,2,82
219.5,2,109.75
192.5,2,96.25
149.7,2,74.85
111.92,2,55.96
120.6,2,60.3
149.7,2,74.85
173,2,86.5
112,2,56
57.6,1,57.6
214,2,107
172,2,86
157.8,1,157.8
170.33,2,85.165
119.25,2,59.625
96.3,2,48.15
118.06,2,59.03
118.06,2,59.03
154,2,77
202,2,101
134,2,67
202,2,101
252,2,126
233,2,116.5
211,2,105.5
211,2,105.5
237,2,118.5
188.29,2,94.145
120.6,2,60.3
177.14,2,88.57
222.14,2,111.07
127.82,2,63.91
194.14,2,97.07
120.6,2,60.3
144.53,2,72.265
185,3,61.6666666666667
96.3,2,48.15
193.13,2,96.565
210.78,2,105.39
169,2,84.5
174.7,2,87.35
135.53,2,67.765
172,1,172
144,2,72
162.5,2,81.25
209.6,2,104.8
209.6,2,104.8
195.5,3,65.1666666666667
186,2,93
163.5,2,81.75
180.28,2,90.14
174.76,2,87.38
116.85,2,58.425
159,2,79.5
104.55,2,52.275
0,2,0
144.76,2,72.38
205,2,102.5
123,2,61.5
173,2,86.5
220.55,2,110.275
162.14,2,81.07
119.7,2,59.85
77.54,1,77.54
120.6,2,60.3
153,2,76.5
0,2,0
0,2,0
172,2,86
221,1,221
153,2,76.5
230.5,2,115.25
230.5,2,115.25
211,2,105.5
241,2,120.5
211,2,105.5
90.95,2,45.475
188.29,2,94.145
90.95,2,45.475
187.8,2,93.9
0,3,0
0,2,0
172,2,86
171.9,2,85.95
200,2,100
149.4,2,74.7
154,2,77
148.25,2,74.125
172,2,86
183,2,91.5
242.6,2,121.3
172,3,57.3333333333333
168.71,2,84.355
166,2,83
112,1,112
172,2,86
120.6,2,60.3
126,2,63
268,2,134
173,2,86.5
149.2,2,74.6
217.2,2,108.6
239.3,3,79.7666666666667
181.5,2,90.75
154,2,77
173,2,86.5
181.9,3,60.6333333333333
0,2,0
114,2,57
267,2,133.5
226,2,113
173,2,86.5
211,2,105.5
191,2,95.5
173,2,86.5
173,2,86.5
277.5,2,138.75
134,2,67
153,2,76.5
186,2,93
107.2,2,53.6
221,2,110.5
202,2,101
169,2,84.5
133.5,2,66.75
154.38,2,77.19
154.38,2,77.19
205,2,102.5
121.39,2,60.695
171.9,2,85.95
164,2,82
134,2,67
250,2,125
208,2,104
181,2,90.5
172,2,86
157.59,2,78.795
211.75,2,105.875
246,2,123
108.54,2,54.27
186,2,93
205,2,102.5
154,2,77
200.71,2,100.355
252,2,126
135.2,2,67.6
276.43,2,138.215
228,2,114
133,2,66.5
205,2,102.5
134,2,67
119.7,2,59.85
90.95,2,45.475
138,2,69
134,2,67
173,1,173
165.69,2,82.845
195,2,97.5
127.31,2,63.655
134,2,67
207,2,103.5
211.5,2,105.75
210.33,2,105.165
211,2,105.5
154,2,77
145.4,2,72.7
101.25,1,101.25
179.38,2,89.69
166,2,83
202,2,101
172,2,86
277,2,138.5
104,2,52
133,2,66.5
214,2,107
130,2,65
154,2,77
106.4,2,53.2
133,2,66.5
120,1,120
0,2,0
254,2,127
192,2,96
221,2,110.5
120.6,2,60.3
211,2,105.5
147.6,2,73.8
129,2,64.5
205,2,102.5
147.07,2,73.535
107.2,2,53.6
179.1,2,89.55
164.65,2,82.325
200,2,100
134,2,67
233,2,116.5
190,4,47.5
196,2,98
185.57,2,92.785
175,2,87.5
175,2,87.5
169,2,84.5
0,2,0
0,2,0
134,2,67
211,2,105.5
134,2,67
120.6,2,60.3
120.6,2,60.3
112.5,1,112.5
164,2,82
120.6,2,60.3
154,2,77
207,1,207
214,2,107
186,2,93
154,2,77
162.3,3,54.1
186,2,93
241,2,120.5
274.93,2,137.465
156.73,2,78.365
156.73,2,78.365
134,2,67
134,2,67
211,2,105.5
200.7,2,100.35
142.26,2,71.13
196,2,98
129.41,2,64.705
98.02,2,49.01
120.6,2,60.3
191,1,191
191,2,95.5
252,2,126
157.08,2,78.54
258.33,2,129.165
211,2,105.5
211,2,105.5
133.21,2,66.605
173.5,2,86.75
90.95,1,90.95
90.95,2,45.475
90.95,2,45.475
134,2,67
120.6,2,60.3
172,2,86
184.45,2,92.225
158,3,52.6666666666667
184.45,2,92.225
120.6,2,60.3
114.14,2,57.07
168.8,2,84.4
178.33,2,89.165
255,2,127.5
178.33,2,89.165
196,2,98
87.91,2,43.955
211,2,105.5
187.2,2,93.6
154,2,77
243,1,243
222.2,2,111.1
243,2,121.5
178.2,1,178.2
107.2,2,53.6
0,2,0
203,2,101.5
173,2,86.5
172,2,86
120.6,2,60.3
172,2,86
266.4,3,88.8
236,2,118
271,2,135.5
232,2,116
223,2,111.5
178.67,3,59.5566666666667
133,2,66.5
195.5,2,97.75
167.25,2,83.625
209,2,104.5
166,2,83
195.8,2,97.9
229,3,76.3333333333333
160,2,80
266,2,133
96.3,2,48.15
107,2,53.5
262,2,131
182.5,2,91.25
157,2,78.5
234,2,117
242.5,2,121.25
157,2,78.5
158.4,2,79.2
208,2,104
183.45,3,61.15
131.2,3,43.7333333333333
133,2,66.5
135,2,67.5
133,2,66.5
248,2,124
209.2,3,69.7333333333333
107,2,53.5
299.33,2,149.665
156.45,3,52.15
135,2,67.5
149,2,74.5
107,2,53.5
135,2,67.5
135,2,67.5
145.75,2,72.875
132.6,2,66.3
200.71,2,100.355
198.71,2,99.355
218,3,72.6666666666667
101.65,2,50.825
186,2,93
160,2,80
188.71,2,94.355
107,2,53.5
181.94,2,90.97
172,1,172
172,1,172
185,2,92.5
172,1,172
172,1,172
184.45,2,92.225
195,2,97.5
172,1,172
172,1,172
153,2,76.5
184.45,2,92.225
184.45,2,92.225
185,2,92.5
108.54,2,54.27
154,2,77
248,2,124
150.53,2,75.265
150.53,2,75.265
154,2,77
223.99,2,111.995
154,2,77
154,2,77
154,2,77
214,2,107
96.3,2,48.15
175.79,2,87.895
134,2,67
134,2,67
183,2,91.5
149.4,2,74.7
165.11,3,55.0366666666667
209.4,3,69.8
134,2,67
225.9,2,112.95
131.1,2,65.55
134,2,67
187,2,93.5
133,2,66.5
101.65,2,50.825
133,2,66.5
120,1,120
133,2,66.5
133,2,66.5
133,2,66.5
134,2,67
87.9,2,43.95
202,2,101
213,2,106.5
172.55,2,86.275
172,2,86
172,2,86
213,2,106.5
179,2,89.5
236,2,118
229.67,2,114.835
135.2,2,67.6
121.5,2,60.75
96.3,2,48.15
96.3,2,48.15
120.6,2,60.3
176.64,3,58.88
179.86,2,89.93
187,2,93.5
134,2,67
239.5,2,119.75
0,3,0
153,3,51
166,2,83
186.25,2,93.125
192,2,96
120.6,2,60.3
220.4,3,73.4666666666667
241,1,241
241,2,120.5
211,2,105.5
134,2,67
241,2,120.5
8,2,4
196,2,98
198,2,99
0,2,0
158.5,2,79.25
0,2,0
200,1,200
107,2,53.5
163.23,3,54.41
222.07,3,74.0233333333333
229,2,114.5
133,2,66.5
164,2,82
176.8,2,88.4
134,2,67
163.35,2,81.675
171.9,2,85.95
171.9,2,85.95
213.5,2,106.75
125,1,125
178.33,2,89.165
176.75,2,88.375
123,2,61.5
134,2,67
146,2,73
192,2,96
183,2,91.5
236,2,118
191,2,95.5
178.33,2,89.165
248,3,82.6666666666667
188.71,2,94.355
123.04,2,61.52
260.71,3,86.9033333333333
222,2,111
174.71,2,87.355
118.7,2,59.35
116.85,2,58.425
129.55,2,64.775
172,2,86
172,2,86
164,2,82
179.83,2,89.915
172,2,86
160.43,2,80.215
149,2,74.5
134,2,67
146.3,2,73.15
161.26,2,80.63
195.45,3,65.15
133,2,66.5
186.25,2,93.125
162.29,2,81.145
221.43,2,110.715
177.57,2,88.785
133,2,66.5
178,2,89
146.3,2,73.15
218.5,2,109.25
151.89,2,75.945
148.3,2,74.15
96.3,2,48.15
166,2,83
96.3,2,48.15
149,2,74.5
151.95,2,75.975
191.67,2,95.835
211,2,105.5
149.4,2,74.7
201,2,100.5
211,2,105.5
259,3,86.3333333333333
164.4,2,82.2
134,2,67
134,2,67
229,2,114.5
199,3,66.3333333333333
112.5,1,112.5
194,2,97
149.4,2,74.7
155.77,2,77.885
131.7,2,65.85
174.71,2,87.355
101.65,2,50.825
206,2,103
134,2,67
201.5,2,100.75
134,2,67
138.79,1,138.79
122,1,122
113.47,2,56.735
99.5,1,99.5
153,2,76.5
233,3,77.6666666666667
153,2,76.5
192,2,96
132.6,2,66.3
171.9,2,85.95
154,2,77
172,2,86
191,2,95.5
148.25,2,74.125
164,2,82
231.6,3,77.2
261.4,2,130.7
199.4,2,99.7
209.6,2,104.8
199.4,1,199.4
150.83,1,150.83
129.27,1,129.27
129.27,2,64.635
133.76,2,66.88
197.7,2,98.85
196,3,65.3333333333333
164,2,82
154,2,77
219.33,2,109.665
200.8,2,100.4
130.2,2,65.1
189.67,2,94.835
186.13,2,93.065
158.38,1,158.38
166,2,83
149,2,74.5
206.6,2,103.3
120.6,2,60.3
112.5,1,112.5
0,2,0
193,2,96.5
96.3,2,48.15
137.7,2,68.85
112,2,56
116.85,2,58.425
173.5,2,86.75
173.5,2,86.75
129.15,2,64.575
192.2,2,96.1
202.77,2,101.385
111.27,2,55.635
211,2,105.5
153,2,76.5
154,2,77
134,2,67
157.67,2,78.835
133,2,66.5
112.34,2,56.17
124.5,2,62.25
107,2,53.5
133,2,66.5
191,2,95.5
172.6,2,86.3
79.5,2,39.75
120.27,2,60.135
118.29,2,59.145
75.53,2,37.765
8,2,4
8,2,4
90.39,2,45.195
155.86,2,77.93
118.29,2,59.145
115,2,57.5
110.7,2,55.35
110.7,2,55.35
120.38,2,60.19
195,2,97.5
120.6,2,60.3
176,3,58.6666666666667
120.6,2,60.3
112.05,2,56.025
180.55,2,90.275
179,2,89.5
181,2,90.5
122,2,61
195,2,97.5
184,2,92
152,2,76
127.67,2,63.835
127.67,2,63.835
114.13,2,57.065
113.7,2,56.85
120.6,2,60.3
165,2,82.5
120.6,2,60.3
164,2,82
208,2,104
166.5,2,83.25
101.16,2,50.58
130.6,2,65.3
145,2,72.5
158,2,79
109.83,2,54.915
141.67,2,70.835
175,2,87.5
98.63,2,49.315
166.14,2,83.07
150.71,2,75.355
97.74,2,48.87
189.86,2,94.93
97.5,2,48.75
123.11,2,61.555
104.8,2,52.4
164,2,82
134,2,67
146,2,73
103.18,1,103.18
103.18,2,51.59
164,2,82
142.5,2,71.25
77.5,2,38.75
135.2,2,67.6
149,2,74.5
140.4,2,70.2
112,2,56
173.25,3,57.75
121.5,2,60.75
122.86,2,61.43
130.9,2,65.45
146,2,73
154,2,77
103.5,2,51.75
103.5,2,51.75
129.33,2,64.665
115.2,2,57.6
71.72,2,35.86
106.8,2,53.4
71.69,2,35.845
136.2,2,68.1
112.33,2,56.165
112.33,2,56.165
157.67,2,78.835
165,2,82.5
113.43,1,113.43
161.29,2,80.645
167.86,2,83.93
103.07,2,51.535
161.29,2,80.645
96.3,2,48.15
92.86,2,46.43
128,3,42.6666666666667
115.2,2,57.6
80.55,1,80.55
120.33,2,60.165
126.67,2,63.335
130.33,2,65.165
75.46,2,37.73
96.33,2,48.165
117.83,2,58.915
120.33,2,60.165
98,2,49
155.5,2,77.75
122.6,2,61.3
105.5,2,52.75
101.44,2,50.72
160,2,80
120.5,2,60.25
126.29,2,63.145
87.75,2,43.875
113.55,2,56.775
123,2,61.5
98,2,49
151,2,75.5
134.67,2,67.335
153,2,76.5
137.67,2,68.835
111,2,55.5
123,2,61.5
119,2,59.5
155,2,77.5
109,2,54.5
158,2,79
128,2,64
113,2,56.5
113,2,56.5
93.12,2,46.56
128,2,64
93.12,2,46.56
110.7,1,110.7
101.03,2,50.515
120.71,2,60.355
82.72,1,82.72
131,2,65.5
120.71,2,60.355
110.71,2,55.355
136,2,68
186,2,93
114.19,2,57.095
186,2,93
86.95,2,43.475
113,2,56.5
82.88,2,41.44
134,1,134
155,2,77.5
146,2,73
155,2,77.5
154.25,2,77.125
71.69,2,35.845
71.69,2,35.845
150.71,3,50.2366666666667
57,2,28.5
153,2,76.5
153,2,76.5
131.4,2,65.7
90.4,2,45.2
88.2,2,44.1
88.2,2,44.1
65.5,2,32.75
88.2,2,44.1
211,2,105.5
80,1,80
88.2,2,44.1
88.2,2,44.1
88.2,2,44.1
0,40,0
109.5,2,54.75
144.9,2,72.45
79.5,2,39.75
124.5,2,62.25
123,2,61.5
0,2,0
113,2,56.5
123,2,61.5
166,2,83
79.5,2,39.75
79.5,2,39.75
79.5,2,39.75
91.46,2,45.73
153,2,76.5
62.48,2,31.24
124.1,2,62.05
117.9,2,58.95
143,2,71.5
131,2,65.5
128,3,42.6666666666667
167,2,83.5
153,2,76.5
172,2,86
123,2,61.5
146,2,73
79.5,2,39.75
116.8,1,116.8
155,2,77.5
79.5,2,39.75
135,2,67.5
116.8,1,116.8
176,3,58.6666666666667
151.25,2,75.625
168,2,84
123,2,61.5
151.88,2,75.94
153,2,76.5
104.8,2,52.4
183,2,91.5
120,2,60
97.5,2,48.75
143.5,2,71.75
163,1,163
123,2,61.5
171,2,85.5
171,2,85.5
143,2,71.5
0,26,0
156,2,78
139.5,2,69.75
113,2,56.5
154.14,2,77.07
98,2,49
113,2,56.5
107.5,2,53.75
124.8,2,62.4
153,2,76.5
131,2,65.5
111.5,2,55.75
98,2,49
123,2,61.5
153,2,76.5
123,2,61.5
197,2,98.5
97.5,2,48.75
97.5,2,48.75
87.75,2,43.875
83.7,2,41.85
91.77,2,45.885
0,1,0
128,2,64
98,2,49
71.69,2,35.845
114.5,2,57.25
149,2,74.5
123,2,61.5
117.8,2,58.9
98,2,49
198,2,99
124.8,2,62.4
98,2,49
89,1,89
128,2,64
